X,Y,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM,OBJECTID
-77.0505538617023,38.905012418955,Ward 2                                                                                                                                                                                                  ,"2300 M St NW, Washington, District of Columbia 20037                                                                                                                                                    ",West End Parcels (Square 50 - West End Affordable),Completed 2015 to Date                                                                                                                                                                                  ,DMPED DCHA DCHFA DHCD OP                                                                                                                                                                                ,55,38.90500497,-77.05055156,3,0,52,0,0,11-12                                             ,243314,395615.27,137462.07,2300 M STREET NW,2022/04/04 05:00:58+00,80687
-77.0229980563921,38.929740046578,Ward 1                                                                                                                                                                                                  ,"660 Kenyon St NW, Washington, District of Columbia 20010                                                                                                                                                ",Kenyon House Family Tenants Association,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,8,38.92973259,-77.02299576,0,7,0,1,0,                                                  ,298206,398006.09,140206.08,660 KENYON STREET NW,2022/04/04 05:00:58+00,80688
-77.0251153713683,38.9044470054179,Ward 2                                                                                                                                                                                                  ,"915 L Street Northwest, Washington, District of Columbia 20001                                                                                                                                          ",Square 369,Completed 2015 to Date                                                                                                                                                                                  ,OP                                                                                                                                                                                                      ,23,38.90443922,-77.02511308,0,0,19,4,0,14-09                                             ,315500,397821.73,137398.39,915 L STREET NW,2022/04/04 05:00:58+00,80961
-76.9862446151135,38.9013801995259,Ward 5                                                                                                                                                                                                  ,"1111 Orren St NE, Washington, District of Columbia 20002                                                                                                                                                ",The Corey,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,6,38.90139421,-76.98626297,0,3,0,3,0,                                                  ,313404,401193.37,137057.74,1111 ORREN STREET NE,2022/04/04 05:00:58+00,80962
-76.981976284766,38.8792134290622,Ward 6                                                                                                                                                                                                  ,"1600 Pennsylvania Avenue SE, Washington, District of Columbia                                                                                                                                           ",1600 Pennsylvania Avenue SE,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,8,38.87913804,-76.98187941,0,4,0,4,0,                                                  ,311021,401564.1,134597.12,1600 PENNSYLVANIA AVENUE SE,2022/04/04 05:00:58+00,80963
-77.0251308301153,38.9070930251143,Ward 2                                                                                                                                                                                                  ,"926 N Street, NW, Washington, District of Columbia                                                                                                                                                      ",Bailey Flats on Blagden,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,2,38.90695503,-77.02518337,0,1,0,1,0,                                                  ,239789,397820.47,137692.12,926 N STREET NW,2022/04/04 05:00:58+00,80964
-77.0230906372456,38.9175422203038,Ward 1                                                                                                                                                                                                  ,"2030 8th St NW, Washington, District of Columbia 20001                                                                                                                                                  ",Atlantic Plumbing,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,6,38.91753476,-77.02308835,0,0,0,6,0,                                                  ,284162,397997.72,138852.02,2030 8TH STREET NW,2022/04/04 05:00:58+00,80965
-77.0000984578787,38.9207157041037,Ward 5                                                                                                                                                                                                  ,"2321 4th Street Northeast, Washington, District of Columbia 20002                                                                                                                                       ",2321 4th Street (Rhode Island Avenue Gateway PUD),Completed 2015 to Date                                                                                                                                                                                  ,DCHA DCHFA DHCD                                                                                                                                                                                         ,116,38.92075584,-77.00014288,20,0,96,0,0,                                                  ,289738,399991.66,139204.05,2321 4TH STREET NE,2022/04/04 05:00:58+00,80966
-77.0157098890965,38.9752707703012,Ward 4                                                                                                                                                                                                  ,"255 Carroll Street Northwest, Washington, District of Columbia 20012                                                                                                                                    ",Takoma Central,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,9,38.97523115,-77.015656,0,5,0,4,0,                                                  ,310103,398638.9,145260.27,255 CARROLL STREET NW,2022/04/04 05:00:58+00,80967
-76.9515060704611,38.9248936128408,Ward 5                                                                                                                                                                                                  ,"3750 Jamison St NE, Washington, District of Columbia 20018                                                                                                                                              ",Fort Lincoln Multifamily,Completed 2015 to Date                                                                                                                                                                                  ,DMPED DHCD OP                                                                                                                                                                                           ,36,38.928471,-76.956178,0,18,0,18,0,06-08                                             ,314268,404205.28,139668.95,3750 JAMISON STREET NE,2022/04/04 05:00:58+00,80968
