OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
426,14,NORTH WARREN,OPEN,RSPB,Publicised Reserve,2021/09/02 00:00:00+00,31539.3180649692,-4009798.8915213
427,69,YNYS-HIR,OPEN,RSPB,Publicised Reserve,2021/07/16 00:00:00+00,67058.5491484004,-8287812.16684559
428,224,VALLEY WETLANDS,OPEN,RSPB,Publicised Reserve,2021/05/27 00:00:00+00,17722.2788366407,-1975238.13404722
429,229,LOCHWINNOCH,OPEN,RSPB,Publicised Reserve,2021/03/03 00:00:00+00,10022.5952647559,-1587734.58138538
430,263,GELTSDALE,OPEN,RSPB,Publicised Reserve,2020/12/17 00:00:00+00,61429.9600571935,-27527683.4109952
431,379,INSH MARSHES,OPEN,RSPB,Publicised Reserve,2021/01/07 00:00:00+00,47256.4029053722,-10131130.0932691
432,427,BLACKTOFT SANDS,OPEN,RSPB,Publicised Reserve,2021/03/19 00:00:00+00,32762.5505653148,-3938638.35180817
433,625,ELMLEY MARSHES,OPEN,RSPB,Non-Publicised Reserve,2020/04/23 00:00:00+00,864.649528535367,-2640.49532987789
434,656,THE LOONS & LOCH OF BANKS,OPEN,RSPB,Publicised Reserve,2021/01/28 00:00:00+00,11057.8101158712,-882187.8714718
435,770,AYLESBEARE COMMON,OPEN,RSPB,Publicised Reserve,2020/11/25 00:00:00+00,23597.1765176014,-2803981.03387264
436,985,CULBIN SANDS,OPEN,RSPB,Publicised Reserve,2021/07/21 00:00:00+00,66627.9720551546,-11452876.4114939
437,1279,CAMPFIELD MARSH,OPEN,RSPB,Publicised Reserve,2020/08/06 00:00:00+00,29675.2127242801,-3213553.16398308
438,1364,COQUET ISLAND,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,1487.37790534444,-83123.3728534465
439,1530,OLD HALL MARSHES,OPEN,RSPB,Publicised Reserve,2020/06/05 00:00:00+00,75894.6231828825,-4530063.7890056
440,1631,WEST SEDGEMOOR,OPEN,RSPB,Publicised Reserve,2013/09/24 00:00:00+00,18922.6762553052,-21026471.8701172
441,1865,BEMPTON CLIFFS,OPEN,RSPB,Publicised Reserve,2020/07/30 00:00:00+00,9860.99184070056,-339672.956669276
