time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-10T08:30:25.318Z,37.32,141.9009,40.23,4.7,mb,,97,3.058,0.75,us,us7000h122,2022-04-10T08:57:58.269Z,"81 km ESE of Namie, Japan",earthquake,3.4,6.8,0.054,104,reviewed,us,us
2022-04-10T07:05:26.742Z,-60.6901,-25.7725,10,4.9,mb,,112,8.625,0.46,us,us7000h11n,2022-04-10T07:24:25.040Z,"South Sandwich Islands region",earthquake,13.9,1.9,0.076,55,reviewed,us,us
2022-04-10T05:06:40.743Z,15.0793,-93.0549,46.5,4.1,mb,,161,1.487,0.64,us,us7000h110,2022-04-10T05:34:07.040Z,"39 km WSW of El Arenal, Mexico",earthquake,7.7,15.5,0.081,42,reviewed,us,us
2022-04-10T04:48:30.330Z,19.1774997711182,-155.432662963867,32.0400009155273,2.54999995,md,35,170,,0.109999999,hv,hv72979392,2022-04-10T04:51:35.240Z,"5 km ESE of P?hala, Hawaii",earthquake,0.77,0.699999988,2.3499999,6,automatic,hv,hv
2022-04-10T04:05:03.434Z,26.9725,143.862,10,4.4,mb,,161,7.055,0.98,us,us7000h10u,2022-04-10T04:45:52.040Z,"Bonin Islands, Japan region",earthquake,13.2,1.9,0.089,38,reviewed,us,us
2022-04-10T03:23:40.681Z,54.7404,-164.1408,9.58,4,ml,,148,0.42,0.84,us,us7000h10g,2022-04-10T03:34:22.040Z,"48 km WSW of False Pass, Alaska",earthquake,6.9,4.2,0.085,18,reviewed,us,us
2022-04-10T03:04:05.931Z,-11.7235,-75.1144,18.71,5,mb,,91,1.711,0.97,us,us7000h10f,2022-04-10T04:00:54.790Z,"3 km W of Comas, Peru",earthquake,7.3,5.5,0.044,165,reviewed,us,us
2022-04-10T02:43:44.989Z,31.68196449,-104.4200031,6.080151367,3.5,ml,22,56,0.07014131429,0.3,tx,tx2022gzcf,2022-04-10T04:46:23.823Z,"",earthquake,1.097090276,1.259589283,0.1,13,reviewed,tx,tx
2022-04-10T02:12:30.934Z,38.3537,23.4048,10,4.3,mb,,64,1.658,0.9,us,us7000h108,2022-04-10T06:52:58.713Z,"7 km W of Árma, Greece",earthquake,5.5,1.9,0.138,17,reviewed,us,us
2022-04-10T02:04:35.790Z,19.2063,-67.7601,68,3.69,md,10,260,0.8685,0.96,pr,pr2022100000,2022-04-10T04:17:37.575Z,"96 km NE of Punta Cana, Dominican Republic",earthquake,7.53,16.56,0.17,3,reviewed,pr,pr
2022-04-10T01:32:23.192Z,7.3437,94.4145,6.21,5.4,mww,,65,4.59,1.22,us,us7000h0zv,2022-04-10T03:35:42.734Z,"189 km NNW of Sabang, Indonesia",earthquake,7.9,4.5,0.083,14,reviewed,us,us
2022-04-10T00:58:05.072Z,42.3427,20.1824,10,4.2,mb,,27,0.688,0.76,us,us7000h0zq,2022-04-10T09:05:53.241Z,"16 km SSW of Junik, Kosovo",earthquake,2,1.9,0.237,5,reviewed,us,us
2022-04-10T00:06:16.962Z,21.4417,97.997,10,4.4,mwr,,77,1.121,1.33,us,us7000h0zn,2022-04-10T00:25:09.040Z,"123 km NE of Taunggyi, Myanmar",earthquake,3.1,1.9,0.073,18,reviewed,us,us
2022-04-09T23:09:40.786Z,31.6297,-40.8994,10,5,mb,,53,14.045,0.63,us,us7000h0zl,2022-04-10T00:07:07.040Z,"northern Mid-Atlantic Ridge",earthquake,10.2,1.8,0.034,279,reviewed,us,us
2022-04-09T22:59:00.430Z,18.7798328399658,-155.241165161133,8.77000045776367,2.54999995,md,30,273,,0.159999996,hv,hv72979232,2022-04-09T23:56:17.040Z,"47 km SE of Naalehu, Hawaii",earthquake,1.29,1.36000001,2.20000005,10,automatic,hv,hv
2022-04-09T22:53:17.939Z,-22.1602,-177.1433,329.08,4.5,mb,,90,6.301,0.69,us,us7000h0zi,2022-04-09T23:49:20.040Z,"228 km WSW of Haveluloto, Tonga",earthquake,6.8,8.1,0.089,37,reviewed,us,us
2022-04-09T22:33:16.494Z,31.6769,-40.839,10,5,mb,,45,13.977,0.73,us,us7000h0zh,2022-04-09T23:11:20.040Z,"northern Mid-Atlantic Ridge",earthquake,9.4,1.9,0.035,258,reviewed,us,us
2022-04-09T22:04:29.225Z,51.2479,178.6307,35,4.2,mb,,191,0.709,0.65,us,us7000h0z9,2022-04-09T22:24:18.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,3.2,2,0.076,48,reviewed,us,us
2022-04-09T21:34:58.462Z,6.9298,-73.1723,146.72,4.4,mb,,95,1.034,0.99,us,us7000h0yx,2022-04-09T21:50:05.040Z,"12 km ENE of Betulia, Colombia",earthquake,6.7,8.3,0.06,81,reviewed,us,us
2022-04-09T21:22:13.096Z,-3.2295,139.7734,48.97,5.5,mb,,35,7.52,0.97,us,us7000h0yv,2022-04-09T23:25:41.038Z,"118 km SW of Abepura, Indonesia",earthquake,9.1,6.6,0.042,196,reviewed,us,us
2022-04-09T20:52:37.344Z,-16.3181,166.8507,10,6.3,mww,,33,0.93,0.88,us,us7000h0yj,2022-04-10T00:11:48.876Z,"64 km WSW of Norsup, Vanuatu",earthquake,5.6,1.7,0.038,68,reviewed,us,us
2022-04-09T20:00:03.846Z,-0.031,123.6733,126.99,4.8,mb,,31,1.349,1.09,us,us7000h0ya,2022-04-09T20:15:23.040Z,"92 km SE of Gorontalo, Indonesia",earthquake,6.2,5.9,0.063,81,reviewed,us,us
2022-04-09T19:35:14.119Z,-22.9049,171.537,22.96,5,mww,,64,3.786,0.91,us,us7000h0y5,2022-04-09T20:17:25.040Z,"southeast of the Loyalty Islands",earthquake,8.9,4.5,0.098,10,reviewed,us,us
2022-04-09T19:24:05.220Z,17.9255,-68.541,57,3.49,md,17,230,0.6097,0.43,pr,pr2022099002,2022-04-09T20:04:10.930Z,"50 km S of Boca de Yuma, Dominican Republic",earthquake,3.04,4.8,0.08,9,reviewed,pr,pr
2022-04-09T18:38:37.552Z,28.8265,86.5402,10,4.2,mb,,71,1.51,0.69,us,us7000h0xr,2022-04-09T20:39:30.040Z,"100 km NNW of Lobujya, Nepal",earthquake,7.9,1.9,0.081,48,reviewed,us,us
2022-04-09T18:26:32.650Z,54.5466,161.4813,59.39,4.2,mb,,138,2.269,0.67,us,us7000h0xs,2022-04-09T19:54:16.040Z,"166 km SE of Atlasovo, Russia",earthquake,11,8.4,0.054,106,reviewed,us,us
2022-04-09T16:43:49.146Z,21.6985,120.973,10,4.9,mww,,69,1.118,1.23,us,us7000h0xd,2022-04-09T21:47:02.224Z,"41 km SE of Hengchun, Taiwan",earthquake,4.9,1.7,0.073,18,reviewed,us,us
2022-04-09T16:29:16.856Z,51.148,178.7408,25.47,5.7,mww,,174,0.421,1.09,us,us7000h0x9,2022-04-10T04:39:20.174Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.8,5.9,0.073,18,reviewed,us,us
2022-04-09T16:28:54.759Z,-32.8016,-70.289,117.03,4.5,mb,,63,0.223,0.86,us,us7000h0x8,2022-04-09T23:44:41.291Z,"29 km E of Los Andes, Chile",earthquake,6.5,6.4,0.191,8,reviewed,us,us
2022-04-09T16:13:22.524Z,-0.0447,122.0381,270.65,4.2,mb,,108,1.232,0.71,us,us7000h0x5,2022-04-09T18:54:46.040Z,"130 km NW of Luwuk, Indonesia",earthquake,11.4,8.3,0.137,16,reviewed,us,us
2022-04-09T15:49:09.480Z,-36.5929,78.8474,10,5.8,mww,,46,32.358,1.15,us,us7000h0x2,2022-04-09T21:37:18.353Z,"Mid-Indian Ridge",earthquake,6.2,1.8,0.066,22,reviewed,us,us
2022-04-09T15:37:07.680Z,31.8416667,-117.0495,26.54,3.15,ml,9,326,0.5729,0.14,ci,ci39989439,2022-04-09T15:40:46.716Z,"35km W of El Sauzal, B.C., MX",earthquake,8.46,1.18,0.261,26,automatic,ci,ci
2022-04-09T15:10:44.132Z,37.5852,20.9337,19.23,4.6,mb,,136,0.887,0.81,us,us7000h0ws,2022-04-09T18:39:38.040Z,"17 km SSE of Lithakiá, Greece",earthquake,2.5,5,0.088,39,reviewed,us,us
2022-04-09T14:02:15.376Z,38.0982,38.6379,10,5.3,mww,,55,1.021,0.92,us,us7000h0wh,2022-04-09T21:06:58.948Z,"7 km NNE of Sincik, Turkey",earthquake,4.4,1.7,0.062,25,reviewed,us,us
2022-04-09T13:04:48.530Z,18.7418,-68.095,38,3.52,md,20,161,0.366,0.68,pr,pr2022099001,2022-04-09T15:20:18.350Z,"37 km ENE of Punta Cana, Dominican Republic",earthquake,4.01,6.1,0.15,7,reviewed,pr,pr
2022-04-09T11:22:33.768Z,30.9583,78.2347,10,4.3,mb,,171,4.988,0.41,us,us7000h0w1,2022-04-09T14:15:55.637Z,"16 km N of Barkot, India",earthquake,8,1.9,0.126,18,reviewed,us,us
2022-04-09T09:45:25.882Z,32.5459,-16.7375,12.68,4.4,mb,,128,0.476,0.92,us,us7000h10z,2022-04-10T08:19:40.491Z,"14 km SE of Caniço, Portugal",earthquake,6.1,5.4,0.268,5,reviewed,us,us
2022-04-09T09:41:04.717Z,-8.6697,114.752,101.21,4.6,mb,,65,0.625,0.93,us,us7000h0vq,2022-04-09T23:27:44.034Z,"37 km SSE of Negara, Indonesia",earthquake,6.9,6,0.098,37,reviewed,us,us
2022-04-09T09:40:00.808Z,-18.0932,-178.322,494.25,4.9,mb,,37,3.468,0.88,us,us7000h0vs,2022-04-09T10:01:53.040Z,"249 km E of Levuka, Fiji",earthquake,9,5.3,0.026,466,reviewed,us,us
2022-04-09T08:58:58.850Z,17.9268333333333,-66.8558333333333,11.32,2.64,md,17,210,,0.11,pr,pr71343883,2022-04-09T09:25:49.720Z,"6 km SSE of Maria Antonia, Puerto Rico",earthquake,0.46,0.34,0.19453294596619,11,reviewed,pr,pr
2022-04-09T08:23:12.680Z,19.2821,-67.033,12,3.81,md,26,209,0.8183,0.62,pr,pr2022099000,2022-04-09T12:48:47.809Z,"86 km N of Isabela, Puerto Rico",earthquake,1.94,3.86,0.13,22,reviewed,pr,pr
2022-04-09T07:51:49.444Z,44.2497,-129.0452,10,4.4,mb,,197,3.639,0.87,us,us7000h0vb,2022-04-09T08:11:01.040Z,"off the coast of Oregon",earthquake,9.8,1.9,0.044,147,reviewed,us,us
2022-04-09T07:39:19.703Z,60.3366,-147.8827,6.5,2.9,ml,,,,0.64,ak,ak0224julsmd,2022-04-09T07:59:54.040Z,"30 km NNE of Chenega, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-04-09T06:00:45.423Z,56.898,-155.4786,52.5,3.4,ml,,,,0.67,ak,ak0224jts20l,2022-04-09T06:20:10.040Z,"79 km W of Akhiok, Alaska",earthquake,,1.5,,,automatic,ak,ak
2022-04-09T05:20:23.723Z,44.2523,-129.2902,10,4.1,mb,,172,3.814,0.79,us,us7000h0uz,2022-04-09T07:00:40.327Z,"off the coast of Oregon",earthquake,3.7,2,0.073,51,reviewed,us,us
2022-04-09T04:28:01.065Z,65.2752,-158.2962,10,2.5,ml,,87,1.012,0.52,us,us7000h0ux,2022-04-09T04:52:28.040Z,"52 km NNW of Koyukuk, Alaska",earthquake,2.6,2,0.051,50,reviewed,us,us
2022-04-09T01:22:59.200Z,11.3819,125.899,10,4.6,mb,,115,15.549,0.56,us,us7000h0uh,2022-04-09T02:14:53.040Z,"31 km ENE of Hernani, Philippines",earthquake,11,1.9,0.078,52,reviewed,us,us
2022-04-09T00:59:46.106Z,31.6701,-104.4548,5.72,2.8,ml,,71,0.039,0.39,us,us7000h0ue,2022-04-09T01:07:54.040Z,"56 km S of Whites City, New Mexico",earthquake,2,3.2,0.044,68,reviewed,us,us
2022-04-08T22:11:47.769Z,65.3393,-158.3747,10,2.5,ml,,110,0.765,0.64,us,us7000h0tw,2022-04-08T22:46:26.040Z,"60 km NNW of Koyukuk, Alaska",earthquake,2.1,1.9,0.056,42,reviewed,us,us
2022-04-08T21:51:39.208Z,5.3501,126.3663,41.51,4.5,mb,,75,1.879,0.81,us,us7000h0tr,2022-04-08T22:19:15.040Z,"100 km E of Sarangani, Philippines",earthquake,7.8,7.9,0.079,47,reviewed,us,us
2022-04-08T21:01:14.026Z,31.68058579,-104.4199904,6.131567383,3.1,ml,21,52,0.0699020238,0.3,tx,tx2022gwvk,2022-04-08T21:14:50.040Z,"55 km S of Whites City, New Mexico",earthquake,0.9980426517,1.065926253,0.1,13,reviewed,tx,tx
2022-04-08T20:55:31.056Z,-1.8447,67.9701,10,4.7,mb,,44,10.017,0.86,us,us7000h0th,2022-04-08T21:19:27.040Z,"Carlsberg Ridge",earthquake,9.7,1.9,0.07,69,reviewed,us,us
2022-04-08T20:16:45.578Z,65.2748,-158.2536,8.19,2.8,ml,,45,0.779,0.55,us,us7000h0tc,2022-04-08T21:59:03.040Z,"51 km NNW of Koyukuk, Alaska",earthquake,3.1,2.2,0.035,108,reviewed,us,us
2022-04-08T19:43:02.080Z,18.2398333333333,-67.8895,69.41,2.96,md,9,323,,0.26,pr,pr71343833,2022-04-08T20:44:06.010Z,"66 km SE of Punta Cana, Dominican Republic",earthquake,1.82,1.68,0.119804626348851,9,reviewed,pr,pr
2022-04-08T19:40:51.660Z,-14.9859,167.5069,111.01,5,mb,,179,0.544,0.65,us,us7000h0su,2022-04-08T20:53:46.808Z,"47 km E of Port-Olry, Vanuatu",earthquake,11.4,6.7,0.109,27,reviewed,us,us
2022-04-08T19:19:34.095Z,21.7036,120.981,24.29,5.3,mww,,51,1.112,0.96,us,us7000h0sq,2022-04-08T19:38:52.040Z,"41 km SE of Hengchun, Taiwan",earthquake,5.5,4.2,0.058,29,reviewed,us,us
2022-04-08T19:00:49.584Z,-20.9157,-178.5948,577.69,4.5,mb,,42,4.468,1.12,us,us7000h0sj,2022-04-08T19:40:52.040Z,"Fiji region",earthquake,6.5,6,0.035,246,reviewed,us,us
2022-04-08T18:06:16.468Z,49.3793,156.0921,50.98,4.2,mb,,175,3.868,0.66,us,us7000h0sc,2022-04-08T21:40:28.040Z,"144 km S of Severo-Kuril’sk, Russia",earthquake,8.2,8.8,0.082,44,reviewed,us,us
2022-04-08T18:04:08.550Z,35.7981667,-120.3475,10.26,2.82,md,65,104,0.02587,0.07,nc,nc73716036,2022-04-08T22:59:23.681Z,"10km NNW of Cholame, CA",earthquake,0.15,0.24,0.117,73,reviewed,nc,nc
2022-04-08T17:48:02.140Z,31.6739,-104.4259,10.38,2.6,ml,,71,0.064,0.7,us,us7000h0s2,2022-04-08T19:05:07.040Z,"western Texas",earthquake,1.2,7.6,0.057,89,reviewed,us,us
2022-04-08T17:46:49.540Z,19.3785,-66.124,22.45,3.25,md,10,288,,0.34,pr,pr71343803,2022-04-08T18:30:48.108Z,"100 km N of San Juan, Puerto Rico",earthquake,1.85,28.75,0.121208470512978,7,reviewed,pr,pr
2022-04-08T17:32:37.316Z,18.8233,-74.1509,10,4.7,mb,,56,1.423,0.91,us,us7000h0rz,2022-04-08T17:59:39.040Z,"19 km N of Jérémie, Haiti",earthquake,4,1.9,0.052,112,reviewed,us,us
2022-04-08T17:08:08.923Z,31.6718,-104.4732,8.76,2.6,ml,,71,0.023,0.77,us,us7000h0rn,2022-04-08T18:23:13.040Z,"56 km S of Whites City, New Mexico",earthquake,1.5,6.9,0.043,70,reviewed,us,us
2022-04-08T15:13:12.950Z,17.9915,-67.2073333333333,12.17,2.56,md,8,236,,0.17,pr,pr71343778,2022-04-08T16:15:37.211Z,"2 km NW of Pole Ojea, Puerto Rico",earthquake,0.99,0.67,0.188194908898689,10,reviewed,pr,pr
2022-04-08T14:35:13.258Z,-54.5146,-118.8349,10,5,mb,,65,27.809,1.17,us,us7000h0pu,2022-04-08T15:32:01.040Z,"southern East Pacific Rise",earthquake,7.4,1.8,0.098,33,reviewed,us,us
2022-04-08T14:09:30.150Z,19.0846,-67.834,7,3.45,md,7,226,0.7849,0.58,pr,pr2022098000,2022-04-08T15:26:00.750Z,"81 km NE of Punta Cana, Dominican Republic",earthquake,4.43,3.31,0.2,5,reviewed,pr,pr
2022-04-08T13:12:17.382Z,65.2534,-158.2711,7.2,2.5,ml,,,,0.62,ak,ak0224iah979,2022-04-08T13:22:18.805Z,"49 km NNW of Koyukuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-04-08T13:04:56.069Z,37.4767,137.2446,5.19,4.4,mb,,88,1.205,0.59,us,us7000h0pv,2022-04-09T06:23:52.298Z,"53 km NNE of Nanao, Japan",earthquake,4.9,4.2,0.079,46,reviewed,us,us
2022-04-08T12:32:13.397Z,-3.337,138.8629,75.8,5.1,mb,,59,6.617,0.76,us,us7000h0mt,2022-04-08T12:48:54.040Z,"213 km WSW of Abepura, Indonesia",earthquake,9.6,7.3,0.064,80,reviewed,us,us
2022-04-08T12:18:32.457Z,37.1018,-115.3239,5,2.5,ml,30,75.66,0.374,0.1723,nn,nn00836919,2022-04-09T02:39:18.689Z,"32 km SSW of Alamo, Nevada",earthquake,,2.1,0.29,19,reviewed,nn,nn
2022-04-08T11:37:51.051Z,-58.3431,-25.1501,35,4.7,mb,,70,7.5,0.81,us,us7000h0ml,2022-04-08T11:56:52.040Z,"South Sandwich Islands region",earthquake,10.3,1.9,0.089,38,reviewed,us,us
2022-04-08T09:37:08.682Z,65.2997,-158.2413,6.1,3,ml,,,,0.63,ak,ak0224i88vy0,2022-04-08T10:43:34.040Z,"northern Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-04-08T09:35:54.780Z,35.3131667,-118.5361667,3.29,3.28,ml,97,19,0.09686,0.18,ci,ci39988527,2022-04-08T17:29:32.540Z,"22km NNW of Tehachapi, CA",earthquake,0.1,0.3,0.215,31,reviewed,ci,ci
2022-04-08T09:03:42.018Z,-22.4831,-68.8121,126.9,4,mb,,59,0.736,0.9,us,us7000h0m5,2022-04-08T09:30:58.040Z,"11 km ESE of Calama, Chile",earthquake,3.5,7.6,0.156,11,reviewed,us,us
2022-04-08T07:58:14.980Z,17.8283333333333,-66.7785,5.56,2.55,md,10,262,,0.12,pr,pr71343723,2022-04-08T08:23:24.790Z,"18 km SSE of Indios, Puerto Rico",earthquake,0.83,0.51,0.224909958982118,4,reviewed,pr,pr
2022-04-08T07:27:26.373Z,0.8013,126.2503,44.53,4.4,mb,,68,1.116,0.7,us,us7000h0ls,2022-04-08T08:00:57.040Z,"126 km W of Ternate, Indonesia",earthquake,7.8,8.3,0.138,15,reviewed,us,us
2022-04-08T06:34:13.224Z,31.6647967,-104.5396114,7.494091797,2.7,ml,21,89,0.03333277593,0.2,tx,tx2022gvsu,2022-04-08T14:56:26.556Z,"58 km SSW of Whites City, New Mexico",earthquake,1.897087758,1.188388976,0.1,13,reviewed,tx,tx
2022-04-08T05:39:32.616Z,-21.6144,-179.2584,605.26,4.3,mb,,72,4.608,0.64,us,us7000h0lu,2022-04-08T07:54:32.040Z,"Fiji region",earthquake,11.3,10.1,0.119,20,reviewed,us,us
2022-04-08T03:59:35.550Z,19.1801666666667,-155.502333333333,35.23,2.72,ml,54,84,,0.12,hv,hv72977362,2022-04-09T00:15:58.840Z,"3 km SW of P?hala, Hawaii",earthquake,0.4,0.5,0.183524457599004,36,reviewed,hv,hv
2022-04-08T03:45:26.738Z,2.0795,-84.5003,10,4.2,mb,,183,6.317,0.67,us,us7000h0l1,2022-04-08T04:27:22.040Z,"off the coast of Central America",earthquake,12.8,2,0.265,4,reviewed,us,us
2022-04-08T03:30:07.490Z,17.8705,-66.8713333333333,15.6,2.72,md,8,246,,0.15,pr,pr71343703,2022-04-08T04:19:02.440Z,"11 km SSE of Guánica, Puerto Rico",earthquake,0.82,1.12,0.11851680016458,4,reviewed,pr,pr
2022-04-08T02:27:20.190Z,43.0123,145.9889,49.79,4.1,mb,,183,2.318,0.46,us,us7000h0kk,2022-04-08T02:45:20.040Z,"48 km SE of Nemuro, Japan",earthquake,9.7,9,0.127,19,reviewed,us,us
2022-04-08T02:18:56.695Z,-25.4313,-71.05,10,4.2,mb,,174,0.821,0.62,us,us7000h0kg,2022-04-08T02:37:20.040Z,"56 km W of Taltal, Chile",earthquake,3.4,2,0.264,4,reviewed,us,us
2022-04-08T01:32:02.048Z,36.9528,23.1452,10,4.4,mb,,105,1.001,0.99,us,us7000h0kc,2022-04-08T02:11:13.040Z,"27 km NE of Sykiá, Greece",earthquake,5.5,1.9,0.149,15,reviewed,us,us
2022-04-08T00:30:54.894Z,-7.4533,126.8925,274.48,4.7,mb,,28,3.459,0.74,us,us7000h0k6,2022-04-08T00:46:02.040Z,"118 km N of Lospalos, Timor Leste",earthquake,7.1,7.4,0.077,51,reviewed,us,us
2022-04-08T00:14:23.809Z,-22.1317,-68.7774,118.17,4.2,mb,,97,0.908,0.91,us,us7000h0k5,2022-04-08T00:38:22.040Z,"39 km NNE of Calama, Chile",earthquake,4.3,8.8,0.215,6,reviewed,us,us
2022-04-07T23:37:55.810Z,19.1998333333333,-155.435166666667,33.67,3.7,ml,59,137,,0.11,hv,hv72976872,2022-04-08T23:39:54.744Z,"4 km E of P?hala, Hawaii",earthquake,0.35,0.4,0.209371564880878,41,reviewed,hv,hv
2022-04-07T23:36:10.601Z,21.7044,121.0172,10,5.7,mww,,56,1.109,1.01,us,us7000h0jz,2022-04-08T23:41:03.628Z,"43 km SE of Hengchun, Taiwan",earthquake,6.9,1.8,0.055,32,reviewed,us,us
2022-04-07T23:24:17.349Z,67.7326,-161.1741,25.7,3.3,ml,,,,0.96,ak,ak0224gsyt9u,2022-04-07T23:36:09.774Z,"78 km ENE of Noatak, Alaska",earthquake,,1.2,,,automatic,ak,ak
2022-04-07T22:57:28.332Z,42.2557,144.5011,40.38,4.2,mb,,187,1.028,0.4,us,us7000h0jp,2022-04-07T23:14:55.040Z,"80 km S of Kushiro, Japan",earthquake,7.7,9.7,0.175,9,reviewed,us,us
2022-04-07T22:52:38.196Z,67.6368,-160.8436,6.3,3.2,ml,,,,0.69,ak,ak0224gsjfhk,2022-04-07T23:17:57.026Z,"76 km NNW of Kiana, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2022-04-07T21:14:16.420Z,-21.1333,-68.8384,130.25,4.3,mb,,52,0.612,0.44,us,us7000h0iv,2022-04-07T22:15:28.040Z,"146 km N of Calama, Chile",earthquake,6.2,6.3,0.16,11,reviewed,us,us
2022-04-07T20:29:09.722Z,31.1386,141.8004,10,4.6,mb,,136,2.593,1.05,us,us7000h0ie,2022-04-08T07:36:53.298Z,"Izu Islands, Japan region",earthquake,9.8,1.9,0.055,101,reviewed,us,us
2022-04-07T19:47:47.117Z,51.8872,177.4973,103.5,2.8,ml,,329,0.631,0.52,us,us7000h0i3,2022-04-07T20:48:30.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,13,2.7,0.105,12,reviewed,us,us
2022-04-07T18:52:17.098Z,65.2599,-158.2331,13,3.3,ml,,,,0.57,ak,ak0224gq5nni,2022-04-07T20:39:30.040Z,"49 km NNW of Koyukuk, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2022-04-07T17:45:19.384Z,44.1072,-128.569,10,3.7,mb,,194,2.306,1.54,us,us7000h0h7,2022-04-07T18:20:19.040Z,"off the coast of Oregon",earthquake,11.1,2,0.178,8,reviewed,us,us
2022-04-07T17:03:16.392Z,65.2712,-158.1793,4.9,2.7,ml,,,,0.66,ak,ak0224gp9pnc,2022-04-07T20:35:26.040Z,"49 km NNW of Koyukuk, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2022-04-07T16:58:46.833Z,51.4647,16.1323,8.35,4.7,mb,,30,1.122,0.76,us,us7000h0gw,2022-04-08T12:55:58.860Z,"6 km SE of Polkowice, Poland",earthquake,4.1,4,0.051,122,reviewed,us,us
2022-04-07T16:49:26.348Z,31.71586805,-104.2878287,6.697143555000001,2.7,ml,21,65,0.04845799039,0.2,tx,tx2022gurp,2022-04-08T21:52:47.911Z,"51 km S of Whites City, New Mexico",earthquake,0.9194054392,0.8366109671,0.1,11,reviewed,tx,tx
2022-04-07T16:12:21.367Z,65.3109,-158.3115,12.36,2.7,ml,,83,0.774,0.72,us,us7000h0gs,2022-04-07T18:13:33.040Z,"55 km NNW of Koyukuk, Alaska",earthquake,2.4,7,0.037,96,reviewed,us,us
2022-04-07T15:45:07.774Z,65.2516,-158.4267,3.9,2.6,ml,,,,0.75,ak,ak0224gobtsp,2022-04-07T17:05:38.040Z,"53 km NW of Koyukuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-04-07T15:02:26.900Z,-6.8164,127.1476,432.54,4.3,mb,,53,4.08,0.67,us,us7000h0el,2022-04-07T16:53:36.040Z,"189 km N of Lospalos, Timor Leste",earthquake,10.8,8.6,0.084,40,reviewed,us,us
2022-04-07T14:08:24.110Z,19.183,-155.4825,34.82,3.37,ml,57,73,,0.12,hv,hv72976252,2022-04-08T14:10:19.436Z,"2 km S of P?hala, Hawaii",earthquake,0.42,0.55,0.205457104220907,37,reviewed,hv,hv
2022-04-07T10:49:48.020Z,17.9875,-66.9888,7,3.23,md,15,156,0.0583,0.09,pr,pr2022097000,2022-04-08T01:30:40.781Z,"6 km ENE of La Parguera, Puerto Rico",earthquake,0.35,0.18,0.08,6,reviewed,pr,pr
2022-04-07T10:43:09.315Z,-16.9019,35.6176,10,4.9,mb,,38,7.321,1.05,us,us7000h0cc,2022-04-07T19:44:59.397Z,"37 km E of Nsanje, Malawi",earthquake,7.8,1.9,0.099,50,reviewed,us,us
2022-04-07T10:13:50.044Z,8.9514,-40.5089,10,5.1,mb,,78,12.634,0.82,us,us7000h0c6,2022-04-07T10:39:08.040Z,"central Mid-Atlantic Ridge",earthquake,8.7,1.8,0.047,151,reviewed,us,us
2022-04-07T10:01:42.874Z,-24.1147,-67.2022,193.8,4.5,mb,,93,1.463,1.02,us,us7000h0c4,2022-04-07T14:40:46.040Z,"90 km W of San Antonio de los Cobres, Argentina",earthquake,10.7,14.4,0.22,6,reviewed,us,us
2022-04-07T09:52:55.292Z,6.2916,125.7609,159.03,4.5,mb,,119,0.793,0.66,us,us7000h0c3,2022-04-08T11:59:52.446Z,"10 km ENE of Talagutong, Philippines",earthquake,9.8,7.9,0.124,19,reviewed,us,us
2022-04-07T07:38:57.592Z,38.3267,23.5859,14.36,4.4,mb,,69,1.745,0.86,us,us7000h0bg,2022-04-07T17:15:16.040Z,"2 km S of Schimatári, Greece",earthquake,5.8,5.2,0.189,8,reviewed,us,us
2022-04-07T06:36:41.049Z,-3.9904,102.1558,83.71,4.6,mb,,58,0.878,0.44,us,us7000h0b8,2022-04-07T07:18:41.040Z,"24 km SSW of Bengkulu, Indonesia",earthquake,8.2,4.7,0.085,42,reviewed,us,us
